conversation_id,feedback
gptchats_3853,not helpful
gptchats_4085,not helpful
gptchats_4215,not helpful
gptchats_4465,not helpful
gptchats_4499,not helpful
gptchats_4658,not helpful
gptchats_4724,not helpful
gptchats_4754,not helpful
gptchats_4757,not helpful
gptchats_4820,not helpful
gptchats_4965,not helpful
gptchats_4966,not helpful
gptchats_5031,not helpful
gptchats_5232,not helpful
gptchats_5238,not helpful
gptchats_5259,not helpful
gptchats_5302,not helpful
gptchats_5412,not helpful
gptchats_5510,not helpful
gptchats_5549,not helpful
gptchats_5708,not helpful
gptchats_5728,not helpful
gptchats_5819,not helpful
gptchats_5823,not helpful
gptchats_5866,not helpful
gptchats_6050,not helpful
gptchats_6053,not helpful
gptchats_6072,not helpful
gptchats_6123,not helpful
gptchats_6167,not helpful
gptchats_6178,not helpful
gptchats_6210,not helpful
gptchats_6271,not helpful
gptchats_6428,not helpful
gptchats_6441,not helpful
gptchats_6502,not helpful
gptchats_6562,not helpful
gptchats_6658,not helpful
gptchats_6663,not helpful
gptchats_6681,not helpful
gptchats_6766,not helpful
gptchats_6769,not helpful
gptchats_6839,not helpful
gptchats_6863,not helpful
gptchats_6952,not helpful
gptchats_7036,not helpful
gptchats_7333,not helpful
gptchats_7391,not helpful
gptchats_7427,not helpful
gptchats_7434,not helpful
gptchats_7459,not helpful
gptchats_7632,not helpful
gptchats_7702,not helpful
gptchats_7780,not helpful
gptchats_7965,not helpful
gptchats_7971,not helpful
gptchats_7992,not helpful
gptchats_8311,not helpful
gptchats_8514,not helpful
gptchats_8533,not helpful
gptchats_8579,not helpful
gptchats_8676,not helpful
gptchats_8848,not helpful
gptchats_8923,not helpful
gptchats_9022,not helpful
gptchats_9033,not helpful
gptchats_9068,not helpful
gptchats_9098,not helpful
gptchats_9333,not helpful
gptchats_9361,not helpful
gptchats_9418,not helpful
gptchats_9451,not helpful
gptchats_9579,not helpful
gptchats_9805,not helpful
gptchats_9921,not helpful
gptchats_10044,not helpful
gptchats_10079,not helpful
gptchats_10476,not helpful
gptchats_10831,not helpful
gptchats_10866,not helpful
gptchats_10921,not helpful
gptchats_10986,not helpful
gptchats_11157,not helpful
gptchats_11209,not helpful
gptchats_11223,not helpful
gptchats_11228,not helpful
gptchats_11231,not helpful
gptchats_11269,not helpful
gptchats_11377,not helpful
gptchats_11617,not helpful
gptchats_11621,not helpful
gptchats_11960,not helpful
gptchats_11977,not helpful
gptchats_12026,not helpful
gptchats_12082,not helpful
gptchats_12140,not helpful
gptchats_12253,not helpful
gptchats_12451,not helpful
gptchats_12868,not helpful
gptchats_13050,not helpful
gptchats_13109,not helpful
gptchats_13236,not helpful
gptchats_13437,not helpful
gptchats_13441,not helpful
gptchats_13553,not helpful
gptchats_13823,not helpful
gptchats_13828,not helpful
gptchats_14032,not helpful
gptchats_14122,not helpful
gptchats_14377,not helpful
gptchats_14902,not helpful
gptchats_14941,not helpful
gptchats_14973,not helpful
gptchats_14974,not helpful
gptchats_14992,not helpful
gptchats_15084,not helpful
gptchats_15100,not helpful
gptchats_15174,not helpful
gptchats_15183,not helpful
gptchats_15344,not helpful
gptchats_15378,not helpful
gptchats_15451,not helpful
gptchats_15485,not helpful
gptchats_15543,not helpful
gptchats_15556,not helpful
gptchats_15615,not helpful
gptchats_15722,not helpful
gptchats_15814,not helpful
gptchats_15873,not helpful
gptchats_15984,not helpful
gptchats_16052,not helpful
gptchats_16069,not helpful
gptchats_16138,not helpful
gptchats_16767,not helpful
gptchats_16864,not helpful
gptchats_16868,not helpful
gptchats_16904,not helpful
gptchats_17015,not helpful
gptchats_17149,not helpful
gptchats_17186,not helpful
gptchats_17264,not helpful
gptchats_17313,not helpful
gptchats_17337,not helpful
gptchats_17388,not helpful
gptchats_17444,not helpful
gptchats_17576,not helpful
gptchats_17635,not helpful
gptchats_17639,not helpful
gptchats_17896,not helpful
gptchats_18130,not helpful
gptchats_18147,not helpful
gptchats_18156,not helpful
gptchats_18160,not helpful
gptchats_18318,not helpful
gptchats_18473,not helpful
gptchats_18612,not helpful
gptchats_18633,not helpful
gptchats_18691,not helpful
gptchats_18767,not helpful
gptchats_18994,not helpful
gptchats_19256,not helpful
gptchats_19282,not helpful
gptchats_19627,not helpful
gptchats_19644,not helpful
gptchats_19782,not helpful
gptchats_19960,not helpful
gptchats_20023,not helpful
gptchats_20061,not helpful
gptchats_20187,not helpful
gptchats_20218,not helpful
gptchats_20404,not helpful
gptchats_20546,not helpful
gptchats_20719,not helpful
gptchats_20871,not helpful
gptchats_21026,not helpful
gptchats_21087,not helpful
gptchats_21195,not helpful
gptchats_21206,not helpful
gptchats_21245,not helpful
gptchats_21280,not helpful
gptchats_21360,not helpful
gptchats_21386,not helpful
gptchats_21439,not helpful
gptchats_21623,not helpful
gptchats_21628,not helpful
gptchats_21750,not helpful
gptchats_21754,not helpful
gptchats_21759,not helpful
gptchats_21801,not helpful
gptchats_21866,not helpful
gptchats_21897,not helpful
gptchats_21942,not helpful
gptchats_22038,not helpful
gptchats_22047,not helpful
gptchats_22270,not helpful
gptchats_22345,not helpful
gptchats_22400,not helpful
gptchats_22403,not helpful
gptchats_22426,not helpful
gptchats_22563,not helpful
gptchats_22622,not helpful
gptchats_22713,not helpful
gptchats_22793,not helpful
gptchats_22831,not helpful
gptchats_22957,not helpful
gptchats_23013,not helpful
gptchats_23064,not helpful
gptchats_23193,not helpful
gptchats_23342,not helpful
gptchats_23457,not helpful
gptchats_23474,not helpful
gptchats_23539,not helpful
gptchats_23645,not helpful
gptchats_23753,not helpful
gptchats_23760,not helpful
gptchats_23766,not helpful
gptchats_23802,not helpful
gptchats_23810,not helpful
gptchats_23898,not helpful
gptchats_24003,not helpful
gptchats_24134,not helpful
gptchats_24345,not helpful
gptchats_24566,not helpful
gptchats_25066,not helpful
gptchats_25816,not helpful
gptchats_26082,not helpful
gptchats_26166,not helpful
gptchats_26172,not helpful
gptchats_26178,not helpful
gptchats_26438,not helpful
gptchats_26468,not helpful
gptchats_26633,not helpful
gptchats_26777,not helpful
gptchats_26822,not helpful
gptchats_26946,not helpful
gptchats_27006,not helpful
gptchats_27140,not helpful
gptchats_27193,not helpful
gptchats_27292,not helpful
gptchats_27435,not helpful
gptchats_27540,not helpful
gptchats_27577,not helpful
gptchats_27581,not helpful
gptchats_27621,not helpful
gptchats_27971,not helpful
gptchats_28065,not helpful
gptchats_28139,not helpful
gptchats_28163,not helpful
gptchats_28314,not helpful
gptchats_28399,not helpful
gptchats_28404,not helpful
gptchats_28540,not helpful
gptchats_28659,not helpful
gptchats_28700,helpful
gptchats_28827,not helpful
gptchats_28900,not helpful
gptchats_28985,not helpful
gptchats_29051,not helpful
gptchats_29264,not helpful
gptchats_29276,not helpful
gptchats_29376,helpful
gptchats_29381,helpful
gptchats_29395,helpful
gptchats_29410,helpful
gptchats_29437,helpful
gptchats_29500,not helpful
gptchats_29526,not helpful
gptchats_30412,not helpful
gptchats_30485,not helpful
gptchats_30732,not helpful
gptchats_30781,not helpful
gptchats_30838,helpful
gptchats_30953,not helpful
gptchats_31002,not helpful
gptchats_31011,not helpful
gptchats_31130,not helpful
gptchats_31371,helpful
gptchats_31859,not helpful
gptchats_31939,not helpful
gptchats_31941,helpful
gptchats_31980,not helpful
gptchats_31997,helpful
gptchats_32022,not helpful
gptchats_32024,not helpful
gptchats_32027,helpful
gptchats_32029,helpful
gptchats_32043,helpful
gptchats_32047,helpful
gptchats_32055,not helpful
gptchats_32077,helpful
gptchats_32082,helpful
gptchats_32087,helpful
gptchats_32101,helpful
gptchats_32114,helpful
gptchats_32142,helpful
gptchats_32150,not helpful
gptchats_32151,helpful
gptchats_32157,helpful
gptchats_32192,helpful
gptchats_32194,helpful
gptchats_32223,helpful
gptchats_32226,helpful
gptchats_32282,not helpful
gptchats_32308,helpful
gptchats_32311,helpful
gptchats_32338,not helpful
gptchats_32346,helpful
gptchats_32366,helpful
gptchats_32374,helpful
gptchats_32386,helpful
gptchats_32398,helpful
gptchats_32429,helpful
gptchats_32451,helpful
gptchats_32457,not helpful
gptchats_32481,helpful
gptchats_32498,helpful
gptchats_32525,helpful
gptchats_32592,helpful
gptchats_32598,helpful
gptchats_32607,helpful
gptchats_32639,helpful
gptchats_32656,helpful
gptchats_32670,not helpful
gptchats_32712,helpful
gptchats_32752,not helpful
gptchats_32775,helpful
gptchats_32853,helpful
gptchats_32886,helpful
gptchats_32888,not helpful
gptchats_32909,helpful
gptchats_32913,helpful
gptchats_32914,helpful
gptchats_32923,not helpful
gptchats_32961,helpful
gptchats_32975,helpful
gptchats_32995,helpful
gptchats_33003,helpful
gptchats_33021,helpful
gptchats_33047,helpful
gptchats_33053,not helpful
gptchats_33113,helpful
gptchats_33121,not helpful
gptchats_33136,not helpful
gptchats_33149,not helpful
gptchats_33171,helpful
gptchats_33178,helpful
gptchats_33186,helpful
gptchats_33258,helpful
gptchats_33279,helpful
gptchats_33288,not helpful
gptchats_33304,helpful
gptchats_33306,helpful
gptchats_33310,helpful
gptchats_33324,not helpful
gptchats_33337,helpful
gptchats_33345,helpful
gptchats_33349,helpful
gptchats_33368,helpful
gptchats_33384,helpful
gptchats_33416,helpful
gptchats_33422,helpful
gptchats_33442,helpful
gptchats_33444,helpful
gptchats_33475,helpful
gptchats_33481,helpful
gptchats_33521,helpful
gptchats_33525,helpful
gptchats_33556,helpful
gptchats_33560,helpful
gptchats_33634,helpful
gptchats_33673,helpful
gptchats_33687,helpful
gptchats_33708,helpful
gptchats_33752,helpful
gptchats_33773,not helpful
gptchats_33774,helpful
gptchats_33781,helpful
gptchats_33783,helpful
gptchats_33787,helpful
gptchats_33798,helpful
gptchats_33812,helpful
gptchats_33825,helpful
gptchats_33836,helpful
gptchats_33847,helpful
gptchats_33880,helpful
gptchats_33924,helpful
gptchats_33934,helpful
gptchats_33937,helpful
gptchats_34012,helpful
gptchats_34024,helpful
gptchats_34178,helpful
gptchats_34180,helpful
gptchats_34184,helpful
gptchats_34188,helpful
gptchats_34242,helpful
gptchats_34260,helpful
gptchats_34306,not helpful
gptchats_34336,helpful
gptchats_34340,helpful
gptchats_34346,helpful
gptchats_34364,helpful
gptchats_34372,helpful
gptchats_34374,helpful
gptchats_34386,helpful
gptchats_34425,helpful
gptchats_34466,helpful
gptchats_34483,helpful
gptchats_34515,helpful
gptchats_34568,helpful
gptchats_34583,helpful
gptchats_34585,helpful
gptchats_34591,helpful
gptchats_34593,helpful
gptchats_34597,helpful
gptchats_34629,helpful
gptchats_34638,helpful
gptchats_34655,helpful
gptchats_34676,helpful
gptchats_34691,helpful
gptchats_34699,helpful
gptchats_34703,helpful
gptchats_34712,not helpful
gptchats_34717,helpful
gptchats_34729,helpful
gptchats_34733,helpful
gptchats_34754,helpful
gptchats_34761,helpful
gptchats_34768,helpful
gptchats_34770,helpful
gptchats_34772,helpful
gptchats_34778,helpful
gptchats_34796,helpful
gptchats_34829,helpful
gptchats_34840,helpful
gptchats_34841,helpful
gptchats_34848,helpful
gptchats_34854,helpful
gptchats_34896,helpful
gptchats_34901,helpful
gptchats_34907,helpful
gptchats_34982,helpful
gptchats_34988,helpful
gptchats_34998,not helpful
gptchats_35006,helpful
gptchats_35040,not helpful
gptchats_35052,helpful
gptchats_35062,helpful
gptchats_35069,helpful
gptchats_35120,helpful
gptchats_35170,helpful
gptchats_35175,helpful
gptchats_35196,helpful
gptchats_35199,helpful
gptchats_35201,helpful
gptchats_35208,helpful
gptchats_35226,helpful
gptchats_35264,helpful
gptchats_35272,helpful
gptchats_35322,helpful
gptchats_35331,helpful
gptchats_35350,helpful
gptchats_35402,helpful
gptchats_35471,helpful
gptchats_35574,helpful
gptchats_35592,helpful
gptchats_35609,helpful
gptchats_35659,helpful
gptchats_35666,helpful
gptchats_35697,helpful
gptchats_35705,helpful
gptchats_35720,not helpful
gptchats_35740,helpful
gptchats_35785,helpful
gptchats_35817,helpful
gptchats_35847,helpful
gptchats_35854,helpful
gptchats_35882,helpful
gptchats_35887,helpful
gptchats_35920,helpful
gptchats_35934,helpful
gptchats_35945,helpful
gptchats_35947,helpful
gptchats_35969,helpful
gptchats_35980,not helpful
gptchats_35987,helpful
gptchats_36001,helpful
gptchats_36026,not helpful
gptchats_36060,helpful
gptchats_36066,helpful
gptchats_36089,helpful
gptchats_36091,helpful
gptchats_36097,not helpful
gptchats_36099,helpful
gptchats_36113,helpful
gptchats_36123,helpful
gptchats_36152,helpful
gptchats_36173,helpful
gptchats_36177,helpful
gptchats_36186,helpful
gptchats_36200,helpful
gptchats_36202,helpful
gptchats_36213,helpful
gptchats_36221,helpful
gptchats_36250,helpful
gptchats_36278,helpful
gptchats_36410,not helpful
gptchats_36429,helpful
gptchats_36462,helpful
gptchats_36506,helpful
gptchats_36508,not helpful
gptchats_36510,not helpful
gptchats_36520,helpful
gptchats_36530,helpful
gptchats_36557,not helpful
gptchats_36561,helpful
gptchats_36589,helpful
gptchats_36599,helpful
gptchats_36633,helpful
gptchats_36637,not helpful
gptchats_36657,helpful
gptchats_36671,helpful
gptchats_36687,helpful
gptchats_36689,helpful
gptchats_36732,not helpful
gptchats_36750,not helpful
gptchats_36761,helpful
gptchats_36781,helpful
gptchats_36784,helpful
gptchats_36798,helpful
gptchats_36809,not helpful
gptchats_36893,helpful
gptchats_36900,helpful
gptchats_36917,helpful
gptchats_36972,helpful
gptchats_36974,helpful
gptchats_36984,helpful
gptchats_37045,helpful
gptchats_37069,helpful
gptchats_37089,helpful
gptchats_37110,helpful
gptchats_37161,not helpful
gptchats_37180,helpful
gptchats_37196,helpful
gptchats_37211,helpful
gptchats_37216,helpful
gptchats_37274,helpful
gptchats_37278,helpful
gptchats_37296,helpful
gptchats_37305,helpful
gptchats_37325,helpful
gptchats_37329,helpful
gptchats_37331,helpful
gptchats_37335,helpful
gptchats_37339,helpful
gptchats_37345,helpful
gptchats_37348,helpful
gptchats_37368,helpful
gptchats_37380,helpful
gptchats_37391,helpful
gptchats_37424,helpful
gptchats_37428,helpful
gptchats_37460,not helpful
gptchats_37464,helpful
gptchats_37468,helpful
gptchats_37470,helpful
gptchats_37481,helpful
gptchats_37485,helpful
gptchats_37526,not helpful
gptchats_37539,helpful
gptchats_37558,not helpful
gptchats_37560,helpful
gptchats_37589,not helpful
gptchats_37600,helpful
gptchats_37612,helpful
gptchats_37619,helpful
gptchats_37621,helpful
gptchats_37645,helpful
gptchats_37735,helpful
gptchats_37741,helpful
gptchats_37743,helpful
gptchats_37753,helpful
gptchats_37757,helpful
gptchats_37780,helpful
gptchats_37786,helpful
gptchats_37792,helpful
gptchats_37806,helpful
gptchats_37810,helpful
gptchats_37820,helpful
gptchats_37848,helpful
gptchats_37858,helpful
gptchats_37870,helpful
gptchats_37901,helpful
gptchats_37937,helpful
gptchats_37955,helpful
gptchats_37957,helpful
gptchats_37999,helpful
gptchats_38012,helpful
gptchats_38032,helpful
gptchats_38042,helpful
gptchats_38045,helpful
gptchats_38052,helpful
gptchats_38054,helpful
gptchats_38061,helpful
gptchats_38092,helpful
gptchats_38095,helpful
gptchats_38103,helpful
gptchats_38182,helpful
gptchats_38184,helpful
gptchats_38220,helpful
gptchats_38224,helpful
gptchats_38258,helpful
gptchats_38268,helpful
gptchats_38276,helpful
gptchats_38314,helpful
gptchats_38341,helpful
gptchats_38365,helpful
gptchats_38377,helpful
gptchats_38403,helpful
gptchats_38409,not helpful
gptchats_38413,helpful
gptchats_38427,helpful
gptchats_38431,helpful
gptchats_38434,helpful
gptchats_38456,helpful
gptchats_38462,helpful
gptchats_38485,helpful
gptchats_38495,helpful
gptchats_38503,not helpful
gptchats_38514,helpful
gptchats_38559,helpful
gptchats_38568,helpful
gptchats_38593,helpful
gptchats_38613,helpful
gptchats_38632,helpful
gptchats_38652,helpful
gptchats_38657,helpful
gptchats_38664,helpful
gptchats_38679,helpful
gptchats_38702,helpful
gptchats_38708,helpful
gptchats_38775,helpful
gptchats_38785,helpful
gptchats_38802,helpful
gptchats_38808,helpful
gptchats_38810,helpful
gptchats_38848,helpful
gptchats_38862,helpful
gptchats_38864,helpful
gptchats_38876,helpful
gptchats_38907,helpful
gptchats_38911,not helpful
gptchats_38922,helpful
gptchats_38930,helpful
gptchats_38969,helpful
gptchats_38999,helpful
gptchats_39053,helpful
gptchats_39083,helpful
gptchats_39091,helpful
gptchats_39102,helpful
gptchats_39117,helpful
gptchats_39124,helpful
gptchats_39130,helpful
gptchats_39133,helpful
gptchats_39137,helpful
gptchats_39144,helpful
gptchats_39152,helpful
gptchats_39164,helpful
gptchats_39168,helpful
gptchats_39232,helpful
gptchats_39250,helpful
gptchats_39294,helpful
gptchats_39305,helpful
gptchats_39310,helpful
gptchats_39312,not helpful
gptchats_39316,helpful
gptchats_39353,helpful
gptchats_39358,helpful
gptchats_39380,helpful
gptchats_39382,helpful
gptchats_39400,helpful
gptchats_39406,helpful
gptchats_39431,helpful
gptchats_39475,helpful
gptchats_39480,helpful
gptchats_39511,not helpful
gptchats_39515,helpful
gptchats_39545,helpful
gptchats_39563,helpful
gptchats_39587,not helpful
gptchats_39607,helpful
gptchats_39615,helpful
gptchats_39626,helpful
gptchats_39644,helpful
gptchats_39649,helpful
gptchats_39654,helpful
gptchats_39666,helpful
gptchats_39687,helpful
gptchats_39748,helpful
gptchats_39765,helpful
gptchats_39803,helpful
gptchats_39815,helpful
gptchats_39831,not helpful
gptchats_39840,helpful
gptchats_39846,helpful
gptchats_39876,helpful
gptchats_39918,helpful
gptchats_39934,helpful
gptchats_39939,helpful
gptchats_39941,helpful
gptchats_39985,helpful
gptchats_40001,helpful
gptchats_40018,helpful
gptchats_40059,helpful
gptchats_40078,not helpful
gptchats_40100,helpful
gptchats_40106,helpful
gptchats_40111,helpful
gptchats_40136,helpful
gptchats_40166,helpful
gptchats_40179,not helpful
gptchats_40190,helpful
gptchats_40192,helpful
gptchats_40196,helpful
gptchats_40222,helpful
gptchats_40245,helpful
gptchats_40250,helpful
gptchats_40270,not helpful
gptchats_40301,helpful
gptchats_40322,helpful
gptchats_40327,helpful
gptchats_40329,not helpful
gptchats_40346,helpful
gptchats_40377,helpful
gptchats_40390,helpful
gptchats_40394,helpful
gptchats_40407,helpful
gptchats_40424,helpful
gptchats_40426,helpful
gptchats_40521,helpful
gptchats_40574,helpful
gptchats_40588,not helpful
gptchats_40590,helpful
gptchats_40603,helpful
gptchats_40623,helpful
gptchats_40625,helpful
gptchats_40627,helpful
gptchats_40633,helpful
gptchats_40645,helpful
gptchats_40661,helpful
gptchats_40665,helpful
gptchats_40731,helpful
gptchats_40743,helpful
gptchats_40816,helpful
gptchats_40818,helpful
gptchats_40866,helpful
gptchats_40881,helpful
gptchats_40897,helpful
gptchats_40902,helpful
gptchats_40906,not helpful
gptchats_40977,helpful
gptchats_40985,not helpful
gptchats_40994,helpful
gptchats_41022,helpful
gptchats_41026,helpful
gptchats_41052,helpful
gptchats_41062,helpful
gptchats_41070,helpful
gptchats_41072,helpful
gptchats_41082,helpful
gptchats_41113,helpful
gptchats_41116,helpful
gptchats_41126,helpful
gptchats_41157,helpful
gptchats_41159,helpful
gptchats_41248,helpful
gptchats_41306,helpful
gptchats_41343,helpful
gptchats_41357,helpful
gptchats_41365,helpful
gptchats_41411,helpful
gptchats_41417,helpful
gptchats_41452,helpful
gptchats_41464,helpful
gptchats_41470,helpful
gptchats_41506,helpful
gptchats_41512,helpful
gptchats_41532,helpful
gptchats_41544,helpful
gptchats_41553,helpful
gptchats_41567,helpful
gptchats_41571,helpful
gptchats_41575,helpful
gptchats_41622,helpful
gptchats_41628,helpful
gptchats_41640,helpful
gptchats_41671,helpful
gptchats_41676,helpful
gptchats_41724,helpful
gptchats_41734,helpful
gptchats_41766,not helpful
gptchats_41824,not helpful
gptchats_41832,helpful
gptchats_41857,helpful
gptchats_41859,not helpful
gptchats_41864,helpful
gptchats_41868,helpful
gptchats_41955,not helpful
gptchats_41970,helpful
gptchats_41998,helpful
gptchats_42006,helpful
gptchats_42016,helpful
gptchats_42029,helpful
gptchats_42057,helpful
gptchats_42082,helpful
gptchats_42090,helpful
gptchats_42105,helpful
gptchats_42131,helpful
gptchats_42144,helpful
gptchats_42166,helpful
gptchats_42191,helpful
gptchats_42197,helpful
gptchats_42204,helpful
gptchats_42208,helpful
gptchats_42238,helpful
gptchats_42241,helpful
gptchats_42246,helpful
gptchats_42255,helpful
gptchats_42271,helpful
gptchats_42275,helpful
gptchats_42336,helpful
gptchats_42364,helpful
gptchats_42382,helpful
gptchats_42385,helpful
gptchats_42409,not helpful
gptchats_42415,helpful
gptchats_42421,helpful
gptchats_42422,not helpful
gptchats_42431,helpful
gptchats_42459,helpful
gptchats_42473,helpful
gptchats_42488,helpful
gptchats_42518,helpful
gptchats_42538,helpful
gptchats_42556,helpful
gptchats_42562,helpful
gptchats_42573,helpful
gptchats_42587,helpful
gptchats_42596,helpful
gptchats_42627,helpful
gptchats_42637,helpful
gptchats_42642,not helpful
gptchats_42647,not helpful
gptchats_42655,helpful
gptchats_42686,helpful
gptchats_42701,helpful
gptchats_42710,helpful
gptchats_42726,helpful
gptchats_42728,helpful
gptchats_42746,helpful
gptchats_42748,helpful
gptchats_42774,helpful
gptchats_42780,helpful
gptchats_42802,helpful
gptchats_42830,helpful
gptchats_42842,helpful
gptchats_42861,helpful
gptchats_42880,helpful
gptchats_42891,helpful
gptchats_42912,helpful
gptchats_42929,helpful
gptchats_42965,helpful
gptchats_42988,helpful
gptchats_43016,helpful
gptchats_43023,helpful
gptchats_43095,helpful
gptchats_43127,helpful
gptchats_43133,not helpful
gptchats_43143,helpful
gptchats_43182,helpful
gptchats_43207,helpful
gptchats_43219,not helpful
gptchats_43223,helpful
gptchats_43227,helpful
gptchats_43239,not helpful
gptchats_43253,helpful
gptchats_43257,helpful
gptchats_43294,helpful
gptchats_43307,helpful
gptchats_43314,helpful
gptchats_43337,not helpful
gptchats_43339,helpful
gptchats_43341,helpful
gptchats_43396,helpful
gptchats_43404,helpful
gptchats_43441,helpful
gptchats_43458,helpful
gptchats_43467,helpful
gptchats_43504,helpful
gptchats_43509,helpful
gptchats_43536,helpful
gptchats_43605,helpful
gptchats_43609,helpful
gptchats_43631,not helpful
gptchats_43651,not helpful
gptchats_43656,helpful
gptchats_43660,helpful
gptchats_43670,not helpful
gptchats_43685,helpful
gptchats_43697,helpful
gptchats_43710,helpful
gptchats_43731,helpful
gptchats_43737,helpful
gptchats_43797,helpful
gptchats_43801,helpful
gptchats_43838,helpful
gptchats_43872,not helpful
gptchats_43876,helpful
gptchats_43894,helpful
gptchats_43911,helpful
gptchats_43921,helpful
gptchats_43932,helpful
gptchats_43940,not helpful
gptchats_43956,helpful
gptchats_43962,helpful
gptchats_43966,helpful
gptchats_43974,helpful
gptchats_43976,not helpful
gptchats_43984,helpful
gptchats_44007,helpful
gptchats_44019,helpful
gptchats_44040,not helpful
gptchats_44054,helpful
gptchats_44070,helpful
gptchats_44085,helpful
gptchats_44122,not helpful
gptchats_44124,helpful
gptchats_44126,helpful
gptchats_44160,helpful
gptchats_44177,helpful
gptchats_44183,helpful
gptchats_44197,helpful
gptchats_44200,helpful
gptchats_44248,helpful
gptchats_44268,helpful
gptchats_44289,helpful
gptchats_44290,helpful
gptchats_44317,helpful
gptchats_44325,helpful
gptchats_44329,not helpful
gptchats_44335,not helpful
gptchats_44341,helpful
gptchats_44429,helpful
gptchats_44445,helpful
gptchats_44466,helpful
gptchats_44472,helpful
gptchats_44525,helpful
gptchats_44547,helpful
gptchats_44551,helpful
gptchats_44613,helpful
gptchats_44621,helpful
gptchats_44633,helpful
gptchats_44660,helpful
gptchats_44682,helpful
gptchats_44684,helpful
gptchats_44686,helpful
gptchats_44728,helpful
gptchats_44732,helpful
gptchats_44736,helpful
gptchats_44738,helpful
gptchats_44742,helpful
gptchats_44764,helpful
gptchats_44788,helpful
gptchats_44832,not helpful
gptchats_44859,helpful
gptchats_44877,helpful
